Data,Ruota,1,2,3,4,5
07/01/1939,BA,58,22,47,49,69
14/01/1939,BA,18,77,33,62,19
21/01/1939,BA,68,65,41,28,67
28/01/1939,BA,76,55,48,85,71
04/02/1939,BA,70,2,20,85,75
11/02/1939,BA,82,81,16,52,77
18/02/1939,BA,51,65,6,29,81
25/02/1939,BA,3,54,79,45,59
04/03/1939,BA,28,23,35,62,88
11/03/1939,BA,35,14,76,53,84
18/03/1939,BA,27,59,7,13,48
25/03/1939,BA,88,1,19,11,36
01/04/1939,BA,5,69,14,86,37
08/04/1939,BA,37,82,31,78,84
15/04/1939,BA,39,20,32,50,72
22/04/1939,BA,29,72,42,38,16
29/04/1939,BA,56,70,39,88,58
06/05/1939,BA,36,13,28,84,20
13/05/1939,BA,34,20,47,56,78
20/05/1939,BA,17,46,21,38,79
27/05/1939,BA,21,82,53,52,76
03/06/1939,BA,69,87,54,17,23
10/06/1939,BA,64,37,51,58,88
17/06/1939,BA,13,68,87,79,69
24/06/1939,BA,89,63,71,32,34
01/07/1939,BA,47,18,74,63,52
08/07/1939,BA,23,46,2,59,1
15/07/1939,BA,27,60,89,80,10
22/07/1939,BA,29,71,13,42,77
29/07/1939,BA,23,54,89,80,73
05/08/1939,BA,18,34,55,9,24
12/08/1939,BA,72,26,17,5,42
19/08/1939,BA,83,9,63,90,47
26/08/1939,BA,67,59,58,51,6
02/09/1939,BA,34,15,17,3,51
09/09/1939,BA,33,65,63,1,10
16/09/1939,BA,37,33,85,83,12
23/09/1939,BA,27,8,35,54,29
30/09/1939,BA,42,37,60,71,28
07/10/1939,BA,28,49,75,68,19
14/10/1939,BA,41,79,64,52,75
21/10/1939,BA,33,35,69,15,80
28/10/1939,BA,9,21,37,73,68
04/11/1939,BA,17,69,44,72,79
11/11/1939,BA,54,33,74,52,14
18/11/1939,BA,25,37,14,57,78
25/11/1939,BA,61,19,75,2,90
02/12/1939,BA,57,49,34,84,63
09/12/1939,BA,79,18,72,26,30
16/12/1939,BA,59,26,63,35,89
23/12/1939,BA,57,8,66,74,27
30/12/1939,BA,87,21,49,52,39
06/01/1940,BA,30,42,62,9,8
13/01/1940,BA,52,59,29,20,31
20/01/1940,BA,47,54,38,62,58
27/01/1940,BA,46,60,23,44,40
03/02/1940,BA,32,16,7,30,78
10/02/1940,BA,69,50,24,65,1
17/02/1940,BA,50,65,70,34,22
24/02/1940,BA,69,22,9,7,34
02/03/1940,BA,61,70,81,83,41
09/03/1940,BA,71,82,13,90,54
16/03/1940,BA,32,3,6,84,89
23/03/1940,BA,28,29,31,89,17
30/03/1940,BA,46,20,81,74,10
06/04/1940,BA,16,20,58,9,53
13/04/1940,BA,64,33,18,59,65
20/04/1940,BA,18,53,14,57,51
27/04/1940,BA,45,51,74,66,44
04/05/1940,BA,33,11,15,53,46
11/05/1940,BA,60,71,88,40,46
18/05/1940,BA,85,66,26,8,90
25/05/1940,BA,22,3,30,78,14
01/06/1940,BA,43,47,61,74,13
08/06/1940,BA,85,76,26,41,73
15/06/1940,BA,51,24,26,49,60
22/06/1940,BA,20,16,83,4,22
29/06/1940,BA,24,76,22,85,13
06/07/1940,BA,88,8,40,76,63
13/07/1940,BA,15,76,70,32,49
20/07/1940,BA,43,54,90,27,89
27/07/1940,BA,42,38,10,66,78
03/08/1940,BA,9,80,69,34,87
10/08/1940,BA,51,17,11,2,53
17/08/1940,BA,1,35,61,26,21
24/08/1940,BA,38,36,53,13,44
31/08/1940,BA,76,61,81,40,62
07/09/1940,BA,8,58,12,44,87
14/09/1940,BA,25,1,8,16,20
21/09/1940,BA,75,35,80,67,68
28/09/1940,BA,34,37,62,44,79
05/10/1940,BA,21,76,58,57,7
12/10/1940,BA,45,31,49,60,53
19/10/1940,BA,69,80,5,50,34
26/10/1940,BA,32,11,76,24,84
02/11/1940,BA,23,74,42,27,46
09/11/1940,BA,71,35,28,83,23
16/11/1940,BA,68,25,28,9,20
23/11/1940,BA,83,85,48,8,63
30/11/1940,BA,85,20,45,43,49
07/12/1940,BA,25,54,62,67,31
14/12/1940,BA,7,31,34,24,6
21/12/1940,BA,78,61,31,83,33
28/12/1940,BA,87,62,84,86,34
04/01/1941,BA,44,10,73,41,69
11/01/1941,BA,3,39,84,36,30
18/01/1941,BA,53,11,81,51,27
25/01/1941,BA,47,45,29,57,81
01/02/1941,BA,76,52,63,84,81
08/02/1941,BA,74,56,88,75,67
15/02/1941,BA,35,73,11,8,1
22/02/1941,BA,79,78,45,85,80
01/03/1941,BA,53,58,41,28,63
08/03/1941,BA,69,46,90,86,3
15/03/1941,BA,80,87,43,54,66
22/03/1941,BA,77,60,76,52,88
29/03/1941,BA,36,25,49,58,83
05/04/1941,BA,60,43,9,41,37
12/04/1941,BA,73,21,5,67,15
19/04/1941,BA,33,70,47,51,50
26/04/1941,BA,89,28,86,36,2
03/05/1941,BA,79,60,25,59,76
10/05/1941,BA,19,17,27,74,8
17/05/1941,BA,29,64,10,33,53
24/05/1941,BA,50,17,65,59,70
31/05/1941,BA,65,84,81,5,56
07/06/1941,BA,33,55,68,40,83
14/06/1941,BA,24,31,3,78,19
21/06/1941,BA,30,20,40,89,12
28/06/1941,BA,5,61,62,3,63
05/07/1941,BA,77,63,41,76,59
12/07/1941,BA,87,56,4,50,26
19/07/1941,BA,46,28,30,31,18
26/07/1941,BA,17,86,63,22,26
02/08/1941,BA,23,9,10,55,22
09/08/1941,BA,31,4,33,70,30
16/08/1941,BA,85,40,18,50,31
23/08/1941,BA,5,24,64,59,56
30/08/1941,BA,5,80,44,77,32
06/09/1941,BA,54,35,1,28,36
13/09/1941,BA,49,56,31,87,79
20/09/1941,BA,46,63,40,30,36
27/09/1941,BA,28,33,22,2,29
04/10/1941,BA,29,22,11,47,43
11/10/1941,BA,32,19,37,50,60
18/10/1941,BA,57,42,69,8,68
25/10/1941,BA,55,19,54,60,27
01/11/1941,BA,39,64,53,12,4
08/11/1941,BA,26,55,62,79,42
15/11/1941,BA,89,29,77,12,6
22/11/1941,BA,72,63,30,50,81
29/11/1941,BA,58,32,90,17,28
06/12/1941,BA,24,39,53,23,49
13/12/1941,BA,65,59,80,54,6
20/12/1941,BA,84,20,14,24,9
27/12/1941,BA,27,42,53,30,35
03/01/1942,BA,83,76,73,84,12
10/01/1942,BA,18,11,39,5,67
17/01/1942,BA,61,47,5,84,66
24/01/1942,BA,35,46,89,17,21
31/01/1942,BA,8,58,19,68,24
07/02/1942,BA,50,5,41,63,38
14/02/1942,BA,54,15,81,74,53
21/02/1942,BA,26,76,13,37,72
28/02/1942,BA,20,60,40,28,15
07/03/1942,BA,74,50,80,25,69
14/03/1942,BA,24,56,83,35,80
21/03/1942,BA,79,7,20,42,57
28/03/1942,BA,41,78,6,32,51
04/04/1942,BA,29,49,61,24,32
11/04/1942,BA,13,31,89,45,52
18/04/1942,BA,16,44,54,17,88
25/04/1942,BA,62,31,72,57,1
02/05/1942,BA,6,85,23,53,16
09/05/1942,BA,31,3,45,37,21
16/05/1942,BA,46,24,47,74,59
23/05/1942,BA,41,69,58,66,55
30/05/1942,BA,44,79,38,84,86
06/06/1942,BA,83,7,10,26,43
13/06/1942,BA,49,74,71,6,26
20/06/1942,BA,74,89,46,70,79
27/06/1942,BA,29,26,44,36,11
04/07/1942,BA,23,58,65,76,80
11/07/1942,BA,53,59,76,4,90
18/07/1942,BA,4,89,8,64,47
25/07/1942,BA,75,37,3,87,78
01/08/1942,BA,38,6,50,15,74
08/08/1942,BA,33,7,12,77,5
15/08/1942,BA,63,11,28,69,6
22/08/1942,BA,44,30,22,65,45
29/08/1942,BA,50,18,44,39,35
05/09/1942,BA,68,4,71,86,18
12/09/1942,BA,28,85,90,1,38
19/09/1942,BA,85,59,50,35,88
26/09/1942,BA,2,19,65,29,36
03/10/1942,BA,16,61,38,44,24
10/10/1942,BA,14,88,15,66,43
17/10/1942,BA,77,64,6,41,85
24/10/1942,BA,56,28,36,85,11
31/10/1942,BA,20,73,36,11,89
07/11/1942,BA,72,83,70,32,11
14/11/1942,BA,7,30,65,80,79
21/11/1942,BA,9,22,10,52,88
28/11/1942,BA,6,38,9,30,52
05/12/1942,BA,62,16,5,69,15
12/12/1942,BA,41,10,36,47,21
19/12/1942,BA,57,54,37,26,34
26/12/1942,BA,44,4,67,36,48
02/01/1943,BA,44,76,32,69,49
09/01/1943,BA,30,42,1,73,62
16/01/1943,BA,88,90,18,84,8
23/01/1943,BA,40,13,37,86,72
30/01/1943,BA,76,3,13,66,17
06/02/1943,BA,50,2,79,90,81
13/02/1943,BA,4,88,46,16,25
20/02/1943,BA,36,12,22,17,80
27/02/1943,BA,10,54,40,27,19
06/03/1943,BA,12,73,83,5,66
13/03/1943,BA,89,81,10,77,21
20/03/1943,BA,64,3,62,58,63
27/03/1943,BA,7,26,1,54,24
03/04/1943,BA,50,29,3,63,13
10/04/1943,BA,75,14,48,9,68
17/04/1943,BA,78,10,16,20,32
24/04/1943,BA,53,54,31,59,81
01/05/1943,BA,68,33,1,35,9
08/05/1943,BA,48,16,53,58,59
15/05/1943,BA,36,4,63,90,50
22/05/1943,BA,52,46,15,4,14
29/05/1943,BA,71,45,88,1,16
05/06/1943,BA,50,70,26,47,5
12/06/1943,BA,47,48,81,46,50
19/06/1943,BA,55,27,15,89,54
26/06/1943,BA,78,47,51,72,65
03/07/1943,BA,11,27,37,51,65
10/07/1943,BA,79,32,14,68,3
17/07/1943,BA,78,56,55,37,51
24/07/1943,BA,31,6,40,29,38
31/07/1943,BA,83,90,50,16,10
07/08/1943,BA,60,88,89,20,29
14/08/1943,BA,46,34,62,36,69
21/08/1943,BA,52,22,8,47,23
28/08/1943,BA,65,24,9,29,17
04/09/1943,BA,76,13,52,60,66
11/09/1943,BA,42,58,31,68,70
18/09/1943,BA,55,40,26,48,1
25/09/1943,BA,18,70,4,50,1
02/10/1943,BA,38,44,66,43,50
09/10/1943,BA,68,46,25,67,18
16/10/1943,BA,2,40,88,44,49
23/10/1943,BA,69,86,88,48,74
30/10/1943,BA,50,83,85,32,80
06/11/1943,BA,5,19,47,85,45
13/11/1943,BA,29,84,16,21,58
20/11/1943,BA,19,8,48,11,13
27/11/1943,BA,41,82,37,78,72
04/12/1943,BA,86,15,21,87,56
11/12/1943,BA,51,42,11,26,82
18/12/1943,BA,24,84,7,15,19
25/12/1943,BA,20,40,49,73,38
01/01/1944,BA,86,12,67,30,88
08/01/1944,BA,52,9,39,87,74
15/01/1944,BA,46,19,70,59,40
