Data,Ruota,1,2,3,4,5
07/01/1939,FI,27,57,81,43,61
14/01/1939,FI,31,47,12,7,80
21/01/1939,FI,37,82,69,9,67
28/01/1939,FI,24,40,12,77,30
04/02/1939,FI,14,51,22,85,25
11/02/1939,FI,18,6,46,62,78
18/02/1939,FI,88,5,38,20,35
25/02/1939,FI,51,5,75,59,35
04/03/1939,FI,1,6,20,24,42
11/03/1939,FI,81,44,57,56,30
18/03/1939,FI,1,22,64,25,53
25/03/1939,FI,75,89,61,41,22
01/04/1939,FI,19,31,25,9,54
08/04/1939,FI,64,75,87,35,25
15/04/1939,FI,30,21,74,84,89
22/04/1939,FI,3,87,74,33,49
29/04/1939,FI,6,39,53,7,79
06/05/1939,FI,88,57,84,23,70
13/05/1939,FI,42,43,75,68,38
20/05/1939,FI,65,73,24,37,68
27/05/1939,FI,59,48,80,40,46
03/06/1939,FI,70,66,76,46,20
10/06/1939,FI,55,46,63,26,35
17/06/1939,FI,15,58,27,50,67
24/06/1939,FI,32,48,40,22,35
01/07/1939,FI,27,24,64,38,25
08/07/1939,FI,17,49,67,27,6
15/07/1939,FI,57,31,6,4,10
22/07/1939,FI,53,86,87,8,85
29/07/1939,FI,14,77,62,26,15
05/08/1939,FI,35,80,1,56,25
12/08/1939,FI,49,82,76,61,23
19/08/1939,FI,50,87,34,9,88
26/08/1939,FI,18,31,49,47,66
02/09/1939,FI,44,11,72,34,37
09/09/1939,FI,78,85,61,30,66
16/09/1939,FI,69,52,11,55,16
23/09/1939,FI,48,39,13,27,81
30/09/1939,FI,56,60,71,20,34
07/10/1939,FI,38,55,56,88,61
14/10/1939,FI,66,40,43,56,20
21/10/1939,FI,52,58,30,43,41
28/10/1939,FI,87,13,6,78,65
04/11/1939,FI,86,58,3,44,72
11/11/1939,FI,17,36,80,60,40
18/11/1939,FI,72,26,30,40,20
25/11/1939,FI,41,49,62,20,60
02/12/1939,FI,79,3,62,65,23
09/12/1939,FI,5,80,13,63,6
16/12/1939,FI,44,54,77,90,38
23/12/1939,FI,23,76,50,27,14
30/12/1939,FI,20,10,73,23,48
06/01/1940,FI,28,57,51,34,64
13/01/1940,FI,54,5,61,47,3
20/01/1940,FI,38,87,50,43,84
27/01/1940,FI,87,68,19,86,56
03/02/1940,FI,23,25,12,55,40
10/02/1940,FI,42,56,66,27,90
17/02/1940,FI,51,49,13,66,9
24/02/1940,FI,13,43,50,46,51
02/03/1940,FI,4,57,12,29,71
09/03/1940,FI,53,40,51,80,39
16/03/1940,FI,58,38,76,63,61
23/03/1940,FI,64,71,59,11,18
30/03/1940,FI,28,10,81,84,60
06/04/1940,FI,33,66,31,83,27
13/04/1940,FI,13,11,4,9,66
20/04/1940,FI,72,46,70,71,89
27/04/1940,FI,58,1,68,69,27
04/05/1940,FI,57,24,18,31,21
11/05/1940,FI,81,14,72,45,88
18/05/1940,FI,47,81,22,89,52
25/05/1940,FI,57,68,79,18,81
01/06/1940,FI,7,38,49,42,80
08/06/1940,FI,68,13,46,82,48
15/06/1940,FI,47,78,20,48,67
22/06/1940,FI,73,67,39,19,48
29/06/1940,FI,61,39,19,41,64
06/07/1940,FI,18,70,8,61,69
13/07/1940,FI,9,38,57,73,15
20/07/1940,FI,63,2,14,77,48
27/07/1940,FI,60,53,54,33,9
03/08/1940,FI,66,55,34,89,61
10/08/1940,FI,45,48,60,71,12
17/08/1940,FI,10,76,65,25,85
24/08/1940,FI,52,25,7,73,11
31/08/1940,FI,24,21,78,71,40
07/09/1940,FI,78,88,24,49,87
14/09/1940,FI,70,45,33,60,66
21/09/1940,FI,22,83,18,52,76
28/09/1940,FI,14,18,64,44,59
05/10/1940,FI,5,82,56,19,83
12/10/1940,FI,70,45,88,32,35
19/10/1940,FI,74,64,83,87,20
26/10/1940,FI,69,1,26,61,27
02/11/1940,FI,19,56,6,14,22
09/11/1940,FI,55,63,14,44,31
16/11/1940,FI,84,2,29,53,18
23/11/1940,FI,3,13,28,36,5
30/11/1940,FI,28,13,78,4,34
07/12/1940,FI,78,69,1,73,62
14/12/1940,FI,30,70,18,86,59
21/12/1940,FI,68,25,82,5,62
28/12/1940,FI,32,3,72,88,78
04/01/1941,FI,47,43,50,10,4
11/01/1941,FI,23,70,39,90,27
18/01/1941,FI,3,43,32,52,69
25/01/1941,FI,41,14,46,22,85
01/02/1941,FI,36,20,69,43,26
08/02/1941,FI,55,90,11,16,10
15/02/1941,FI,48,63,59,36,57
22/02/1941,FI,28,34,55,82,38
01/03/1941,FI,77,29,22,1,17
08/03/1941,FI,35,85,82,23,51
15/03/1941,FI,39,27,66,1,56
22/03/1941,FI,30,27,52,11,80
29/03/1941,FI,33,24,38,51,9
05/04/1941,FI,1,74,28,35,40
12/04/1941,FI,62,69,25,26,13
19/04/1941,FI,12,32,33,54,71
26/04/1941,FI,24,20,69,28,21
03/05/1941,FI,4,59,82,18,34
10/05/1941,FI,24,36,55,79,89
17/05/1941,FI,24,23,7,72,9
24/05/1941,FI,30,41,78,23,38
31/05/1941,FI,69,77,56,72,21
07/06/1941,FI,2,22,65,10,56
14/06/1941,FI,25,68,8,24,1
21/06/1941,FI,46,38,21,48,35
28/06/1941,FI,16,38,80,86,64
05/07/1941,FI,30,87,76,82,21
12/07/1941,FI,37,82,85,79,13
19/07/1941,FI,85,68,56,1,35
26/07/1941,FI,20,84,21,64,52
02/08/1941,FI,18,46,44,56,74
09/08/1941,FI,52,36,18,53,37
16/08/1941,FI,26,53,62,18,35
23/08/1941,FI,90,52,84,41,36
30/08/1941,FI,67,84,76,38,11
06/09/1941,FI,25,84,67,62,8
13/09/1941,FI,36,71,73,77,86
20/09/1941,FI,71,64,22,60,59
27/09/1941,FI,69,40,52,53,44
04/10/1941,FI,40,82,5,47,64
11/10/1941,FI,5,34,71,60,52
18/10/1941,FI,42,29,47,70,81
25/10/1941,FI,44,88,45,67,27
01/11/1941,FI,44,32,86,3,70
08/11/1941,FI,35,84,15,14,72
15/11/1941,FI,30,31,72,11,46
22/11/1941,FI,23,17,89,64,82
29/11/1941,FI,31,68,39,83,88
06/12/1941,FI,37,12,85,34,69
13/12/1941,FI,24,44,41,33,57
20/12/1941,FI,9,2,7,11,1
27/12/1941,FI,59,87,39,29,46
03/01/1942,FI,42,31,32,44,73
10/01/1942,FI,39,53,82,41,22
17/01/1942,FI,83,74,55,21,33
24/01/1942,FI,66,57,41,75,12
31/01/1942,FI,83,81,25,60,67
07/02/1942,FI,28,18,54,55,20
14/02/1942,FI,83,75,29,57,41
21/02/1942,FI,86,70,63,79,37
28/02/1942,FI,58,66,17,55,43
07/03/1942,FI,37,11,17,18,19
14/03/1942,FI,70,85,32,72,36
21/03/1942,FI,19,45,26,14,20
28/03/1942,FI,88,79,74,1,3
04/04/1942,FI,9,8,10,59,28
11/04/1942,FI,53,1,61,68,38
18/04/1942,FI,54,57,85,88,43
25/04/1942,FI,52,66,51,48,5
02/05/1942,FI,84,10,50,9,53
09/05/1942,FI,61,27,15,54,12
16/05/1942,FI,22,32,53,61,75
23/05/1942,FI,80,4,44,30,34
30/05/1942,FI,80,17,59,77,24
06/06/1942,FI,70,60,10,43,48
13/06/1942,FI,62,80,35,36,9
20/06/1942,FI,1,7,11,65,59
27/06/1942,FI,87,60,1,59,89
04/07/1942,FI,7,58,16,69,70
11/07/1942,FI,71,13,79,78,73
18/07/1942,FI,50,39,89,32,58
25/07/1942,FI,46,27,8,77,41
01/08/1942,FI,24,58,66,16,61
08/08/1942,FI,3,66,33,41,84
15/08/1942,FI,87,82,50,32,76
22/08/1942,FI,84,62,16,33,51
29/08/1942,FI,63,50,6,90,77
05/09/1942,FI,64,23,34,21,65
12/09/1942,FI,34,4,37,62,35
19/09/1942,FI,82,62,14,73,65
26/09/1942,FI,75,1,79,37,47
03/10/1942,FI,4,15,49,23,17
10/10/1942,FI,50,5,43,48,57
17/10/1942,FI,31,20,89,15,86
24/10/1942,FI,67,89,6,39,61
31/10/1942,FI,77,10,14,44,34
07/11/1942,FI,28,59,80,17,81
14/11/1942,FI,21,88,53,26,16
21/11/1942,FI,62,59,69,75,4
28/11/1942,FI,39,11,25,74,76
05/12/1942,FI,48,37,14,16,64
12/12/1942,FI,25,44,65,78,19
19/12/1942,FI,9,12,40,21,58
26/12/1942,FI,60,16,35,8,78
02/01/1943,FI,85,13,82,6,74
09/01/1943,FI,3,39,41,48,20
16/01/1943,FI,74,82,41,25,81
23/01/1943,FI,49,75,23,83,12
30/01/1943,FI,58,82,65,6,47
06/02/1943,FI,75,35,33,87,38
13/02/1943,FI,58,88,56,21,82
20/02/1943,FI,39,75,35,73,11
27/02/1943,FI,62,25,79,37,53
06/03/1943,FI,79,81,28,5,77
13/03/1943,FI,4,34,32,17,64
20/03/1943,FI,59,72,75,46,40
27/03/1943,FI,39,48,56,1,80
03/04/1943,FI,7,71,43,5,76
10/04/1943,FI,52,78,8,7,73
17/04/1943,FI,26,27,11,69,84
24/04/1943,FI,65,20,88,87,42
01/05/1943,FI,22,19,80,42,31
08/05/1943,FI,44,77,55,41,27
15/05/1943,FI,18,32,25,53,90
22/05/1943,FI,11,54,77,7,18
29/05/1943,FI,33,74,48,64,80
05/06/1943,FI,35,39,81,73,4
12/06/1943,FI,74,60,77,84,75
19/06/1943,FI,76,48,43,30,52
26/06/1943,FI,27,44,57,63,12
03/07/1943,FI,62,82,89,50,46
10/07/1943,FI,45,53,61,3,11
17/07/1943,FI,51,85,39,63,42
24/07/1943,FI,87,55,27,3,56
31/07/1943,FI,63,52,68,84,73
07/08/1943,FI,8,14,4,52,9
14/08/1943,FI,40,46,69,85,33
21/08/1943,FI,89,44,72,29,16
28/08/1943,FI,27,66,30,63,19
