Data,Ruota,1,2,3,4,5
07/01/1939,MI,40,38,57,67,7
14/01/1939,MI,35,24,52,90,41
21/01/1939,MI,37,23,12,19,27
28/01/1939,MI,47,85,18,38,50
04/02/1939,MI,14,37,84,43,15
11/02/1939,MI,26,74,47,90,79
18/02/1939,MI,33,52,46,5,24
25/02/1939,MI,78,57,60,53,6
04/03/1939,MI,24,69,72,59,35
11/03/1939,MI,68,29,18,9,40
18/03/1939,MI,52,13,72,37,11
25/03/1939,MI,22,30,46,75,6
01/04/1939,MI,53,63,57,82,48
08/04/1939,MI,21,72,79,66,54
15/04/1939,MI,9,17,59,30,67
22/04/1939,MI,19,77,61,42,40
29/04/1939,MI,15,56,17,83,6
06/05/1939,MI,17,15,26,82,5
13/05/1939,MI,79,58,47,52,46
20/05/1939,MI,13,12,60,31,37
27/05/1939,MI,38,71,4,8,18
03/06/1939,MI,29,70,62,61,58
10/06/1939,MI,86,12,14,60,32
17/06/1939,MI,10,25,73,68,77
24/06/1939,MI,40,38,86,58,69
01/07/1939,MI,30,24,57,58,89
08/07/1939,MI,21,54,47,84,78
15/07/1939,MI,20,30,42,65,84
22/07/1939,MI,50,54,2,60,32
29/07/1939,MI,40,8,29,52,83
05/08/1939,MI,58,2,53,72,88
12/08/1939,MI,69,44,28,4,30
19/08/1939,MI,37,90,87,54,62
26/08/1939,MI,63,59,5,58,39
02/09/1939,MI,81,60,11,20,14
09/09/1939,MI,79,56,60,38,1
16/09/1939,MI,56,53,21,78,36
23/09/1939,MI,35,55,42,68,33
30/09/1939,MI,32,67,38,77,57
07/10/1939,MI,14,70,15,32,71
14/10/1939,MI,71,54,15,36,48
21/10/1939,MI,40,19,76,54,11
28/10/1939,MI,41,19,47,68,3
04/11/1939,MI,5,47,11,41,78
11/11/1939,MI,65,24,12,42,61
18/11/1939,MI,54,78,42,10,77
25/11/1939,MI,89,25,78,79,23
02/12/1939,MI,58,75,62,43,55
09/12/1939,MI,11,58,19,78,39
16/12/1939,MI,77,61,72,52,56
23/12/1939,MI,79,34,59,19,85
30/12/1939,MI,86,39,4,7,40
06/01/1940,MI,74,78,76,7,53
13/01/1940,MI,10,35,63,38,13
20/01/1940,MI,21,72,62,22,9
27/01/1940,MI,25,35,39,50,38
03/02/1940,MI,6,77,38,42,1
10/02/1940,MI,26,22,31,21,14
17/02/1940,MI,12,81,69,9,66
24/02/1940,MI,33,82,40,55,24
02/03/1940,MI,53,14,49,59,57
09/03/1940,MI,9,14,71,67,44
16/03/1940,MI,7,38,62,81,90
23/03/1940,MI,54,51,13,87,61
30/03/1940,MI,83,79,37,28,47
06/04/1940,MI,59,7,57,49,73
13/04/1940,MI,63,81,24,45,69
20/04/1940,MI,17,62,3,16,66
27/04/1940,MI,46,59,74,20,60
04/05/1940,MI,29,63,32,10,44
11/05/1940,MI,30,88,54,66,62
18/05/1940,MI,71,76,51,57,59
25/05/1940,MI,45,75,21,82,1
01/06/1940,MI,59,77,36,57,53
08/06/1940,MI,37,66,78,46,7
15/06/1940,MI,45,76,71,10,32
22/06/1940,MI,89,38,34,55,65
29/06/1940,MI,86,78,56,48,35
06/07/1940,MI,86,90,81,38,76
13/07/1940,MI,86,38,8,2,78
20/07/1940,MI,40,3,31,62,50
27/07/1940,MI,62,61,86,49,15
03/08/1940,MI,24,43,27,26,1
10/08/1940,MI,53,44,2,17,43
17/08/1940,MI,5,2,76,48,89
24/08/1940,MI,90,64,83,38,45
31/08/1940,MI,53,3,79,23,67
07/09/1940,MI,73,63,68,48,42
14/09/1940,MI,28,7,75,53,85
21/09/1940,MI,36,13,41,12,47
28/09/1940,MI,23,34,57,6,44
05/10/1940,MI,27,40,50,68,63
12/10/1940,MI,19,74,61,47,48
19/10/1940,MI,31,40,85,79,57
26/10/1940,MI,49,15,54,76,20
02/11/1940,MI,71,14,82,4,73
09/11/1940,MI,38,63,10,15,76
16/11/1940,MI,45,50,5,61,46
23/11/1940,MI,8,11,26,78,79
30/11/1940,MI,45,8,20,46,87
07/12/1940,MI,68,35,28,80,11
14/12/1940,MI,45,24,81,67,51
21/12/1940,MI,88,11,13,38,15
28/12/1940,MI,20,82,50,16,39
04/01/1941,MI,16,22,18,24,43
11/01/1941,MI,85,44,11,54,16
18/01/1941,MI,44,54,73,42,57
25/01/1941,MI,6,62,31,8,48
01/02/1941,MI,20,84,66,88,49
08/02/1941,MI,10,62,31,90,40
15/02/1941,MI,80,61,73,1,59
22/02/1941,MI,29,79,71,58,82
01/03/1941,MI,62,33,10,70,34
08/03/1941,MI,37,56,42,67,60
15/03/1941,MI,81,4,56,40,75
22/03/1941,MI,70,53,27,34,85
29/03/1941,MI,50,61,52,83,35
05/04/1941,MI,14,69,4,79,10
12/04/1941,MI,38,2,5,49,85
19/04/1941,MI,78,53,88,46,60
26/04/1941,MI,18,17,7,85,12
03/05/1941,MI,31,14,80,70,22
10/05/1941,MI,2,85,19,43,48
17/05/1941,MI,86,85,63,7,23
24/05/1941,MI,41,34,30,44,20
31/05/1941,MI,38,13,27,90,75
07/06/1941,MI,64,69,53,11,75
14/06/1941,MI,16,13,59,78,5
21/06/1941,MI,89,22,23,31,54
28/06/1941,MI,51,30,85,20,29
05/07/1941,MI,40,78,68,12,18
12/07/1941,MI,30,88,15,42,22
19/07/1941,MI,83,45,72,44,23
26/07/1941,MI,59,25,82,76,40
02/08/1941,MI,36,61,18,16,52
09/08/1941,MI,87,86,85,77,71
16/08/1941,MI,62,42,19,40,44
23/08/1941,MI,50,82,10,61,60
30/08/1941,MI,42,51,29,41,47
06/09/1941,MI,41,69,9,23,68
13/09/1941,MI,28,66,13,63,72
20/09/1941,MI,10,5,81,70,36
27/09/1941,MI,36,12,42,48,82
04/10/1941,MI,9,83,27,46,72
11/10/1941,MI,28,26,84,83,33
18/10/1941,MI,17,12,26,73,77
25/10/1941,MI,71,22,20,32,66
01/11/1941,MI,11,18,13,72,88
08/11/1941,MI,11,21,22,33,70
15/11/1941,MI,78,13,63,12,41
22/11/1941,MI,78,44,87,47,88
29/11/1941,MI,60,5,82,32,46
06/12/1941,MI,19,74,30,77,71
13/12/1941,MI,17,21,20,22,64
20/12/1941,MI,57,56,12,65,67
27/12/1941,MI,13,41,33,23,86
03/01/1942,MI,25,87,72,27,65
10/01/1942,MI,56,60,90,76,87
17/01/1942,MI,62,3,64,6,30
24/01/1942,MI,8,67,75,34,66
31/01/1942,MI,64,82,28,42,15
07/02/1942,MI,15,42,43,37,55
14/02/1942,MI,38,2,75,73,21
21/02/1942,MI,23,22,56,60,50
28/02/1942,MI,64,16,73,6,74
07/03/1942,MI,90,79,51,23,27
14/03/1942,MI,42,29,74,9,3
21/03/1942,MI,45,75,55,76,50
28/03/1942,MI,32,39,56,78,6
04/04/1942,MI,20,78,41,18,54
11/04/1942,MI,87,51,15,81,58
18/04/1942,MI,82,8,2,55,44
25/04/1942,MI,61,81,89,31,43
02/05/1942,MI,33,58,4,7,36
09/05/1942,MI,1,8,23,78,76
16/05/1942,MI,81,90,18,39,23
23/05/1942,MI,10,9,1,60,68
30/05/1942,MI,47,22,46,64,42
06/06/1942,MI,51,12,88,72,75
13/06/1942,MI,48,24,28,39,49
20/06/1942,MI,15,83,69,59,74
27/06/1942,MI,29,54,30,53,51
04/07/1942,MI,16,2,12,25,60
11/07/1942,MI,16,2,72,55,29
18/07/1942,MI,73,7,35,87,25
25/07/1942,MI,22,11,71,59,1
01/08/1942,MI,46,64,74,32,67
08/08/1942,MI,35,43,1,38,5
15/08/1942,MI,35,61,4,79,73
22/08/1942,MI,33,6,9,35,10
29/08/1942,MI,2,32,47,3,82
05/09/1942,MI,40,41,68,52,47
12/09/1942,MI,40,84,3,83,59
19/09/1942,MI,78,7,43,84,90
26/09/1942,MI,12,82,26,48,87
03/10/1942,MI,29,11,26,23,41
10/10/1942,MI,85,22,39,2,19
17/10/1942,MI,52,29,76,42,67
24/10/1942,MI,62,15,22,55,31
31/10/1942,MI,1,15,39,81,51
07/11/1942,MI,79,80,30,10,8
14/11/1942,MI,89,6,47,31,19
21/11/1942,MI,86,5,43,31,32
28/11/1942,MI,58,90,84,49,31
05/12/1942,MI,20,9,51,43,80
12/12/1942,MI,5,43,13,17,33
19/12/1942,MI,9,37,1,82,60
26/12/1942,MI,79,20,64,44,40
02/01/1943,MI,6,73,37,69,70
09/01/1943,MI,43,39,11,8,59
16/01/1943,MI,22,44,63,50,72
23/01/1943,MI,66,65,18,68,64
30/01/1943,MI,23,79,24,45,8
06/02/1943,MI,9,25,66,52,37
13/02/1943,MI,52,88,25,54,1
20/02/1943,MI,53,71,48,68,69
27/02/1943,MI,34,79,88,42,14
06/03/1943,MI,30,54,38,50,44
13/03/1943,MI,24,39,85,20,32
20/03/1943,MI,21,28,67,39,34
27/03/1943,MI,28,36,11,82,26
03/04/1943,MI,89,19,50,75,90
10/04/1943,MI,75,30,83,84,57
17/04/1943,MI,38,27,26,17,7
