Data,Ruota,1,2,3,4,5
07/01/1939,NA,85,44,48,88,55
14/01/1939,NA,4,10,36,63,35
21/01/1939,NA,15,76,82,11,55
28/01/1939,NA,73,34,8,39,17
04/02/1939,NA,32,86,79,58,4
11/02/1939,NA,4,85,36,83,84
18/02/1939,NA,26,56,68,65,39
25/02/1939,NA,88,17,22,49,48
04/03/1939,NA,59,86,40,43,46
11/03/1939,NA,25,26,6,11,2
18/03/1939,NA,12,63,77,64,50
25/03/1939,NA,33,79,74,6,22
01/04/1939,NA,26,41,69,72,6
08/04/1939,NA,25,17,59,77,62
15/04/1939,NA,31,47,78,51,39
22/04/1939,NA,64,62,75,58,9
29/04/1939,NA,4,59,43,64,84
06/05/1939,NA,89,52,84,87,60
13/05/1939,NA,89,68,55,15,24
20/05/1939,NA,78,21,80,82,90
27/05/1939,NA,38,78,19,89,58
03/06/1939,NA,20,51,50,71,53
10/06/1939,NA,28,33,87,45,71
17/06/1939,NA,84,27,2,63,15
24/06/1939,NA,24,37,50,32,63
01/07/1939,NA,42,48,61,23,40
08/07/1939,NA,37,38,30,80,46
15/07/1939,NA,22,51,20,81,73
22/07/1939,NA,43,7,1,74,53
29/07/1939,NA,11,87,26,55,10
05/08/1939,NA,55,16,45,64,32
12/08/1939,NA,3,54,68,31,1
19/08/1939,NA,85,16,64,70,52
26/08/1939,NA,18,85,12,73,60
02/09/1939,NA,28,54,7,86,20
09/09/1939,NA,28,83,78,55,47
16/09/1939,NA,71,40,73,1,90
23/09/1939,NA,6,13,72,85,20
30/09/1939,NA,35,52,34,30,13
07/10/1939,NA,6,25,8,31,49
14/10/1939,NA,29,47,81,40,54
21/10/1939,NA,62,5,75,57,23
28/10/1939,NA,89,76,85,39,40
04/11/1939,NA,73,28,37,50,25
11/11/1939,NA,15,74,69,90,80
18/11/1939,NA,21,29,27,17,71
25/11/1939,NA,46,40,54,38,15
02/12/1939,NA,38,33,48,20,76
09/12/1939,NA,70,10,40,26,62
16/12/1939,NA,28,35,54,19,7
23/12/1939,NA,84,35,78,69,3
30/12/1939,NA,76,34,21,28,2
06/01/1940,NA,27,46,70,40,89
13/01/1940,NA,15,84,38,45,65
20/01/1940,NA,14,5,57,32,60
27/01/1940,NA,3,55,72,58,54
03/02/1940,NA,50,1,71,5,6
10/02/1940,NA,68,25,88,70,10
17/02/1940,NA,53,84,37,79,5
24/02/1940,NA,46,39,5,28,70
02/03/1940,NA,34,13,51,19,28
09/03/1940,NA,58,10,70,69,29
16/03/1940,NA,89,39,16,86,44
23/03/1940,NA,19,12,63,34,74
30/03/1940,NA,67,73,63,13,20
06/04/1940,NA,4,46,31,26,23
13/04/1940,NA,3,85,60,22,14
20/04/1940,NA,63,86,71,78,50
27/04/1940,NA,7,16,46,55,52
04/05/1940,NA,56,6,35,77,40
11/05/1940,NA,86,8,68,59,47
18/05/1940,NA,84,5,39,7,37
25/05/1940,NA,25,67,68,30,2
01/06/1940,NA,40,56,54,69,2
08/06/1940,NA,51,65,34,19,68
15/06/1940,NA,36,62,67,30,46
22/06/1940,NA,8,39,63,76,48
29/06/1940,NA,20,36,35,56,3
06/07/1940,NA,10,40,86,42,58
13/07/1940,NA,20,52,2,80,4
20/07/1940,NA,59,75,36,46,48
27/07/1940,NA,22,1,9,40,21
03/08/1940,NA,45,6,66,88,24
10/08/1940,NA,84,61,13,71,45
17/08/1940,NA,32,36,14,64,55
24/08/1940,NA,25,66,8,18,48
31/08/1940,NA,70,75,69,13,24
07/09/1940,NA,81,7,58,60,64
14/09/1940,NA,79,67,63,88,76
21/09/1940,NA,79,64,9,86,73
28/09/1940,NA,39,9,38,23,13
05/10/1940,NA,48,32,4,36,40
12/10/1940,NA,66,62,13,41,29
19/10/1940,NA,74,36,51,1,83
26/10/1940,NA,63,30,76,7,66
02/11/1940,NA,32,16,81,4,48
09/11/1940,NA,64,35,30,41,61
16/11/1940,NA,87,74,89,90,85
23/11/1940,NA,72,68,7,9,57
30/11/1940,NA,14,38,55,41,19
07/12/1940,NA,31,33,89,29,76
14/12/1940,NA,16,1,49,89,47
21/12/1940,NA,66,10,90,64,40
28/12/1940,NA,11,58,55,1,32
04/01/1941,NA,78,69,74,45,61
11/01/1941,NA,22,44,67,17,53
18/01/1941,NA,11,55,75,68,9
25/01/1941,NA,3,48,29,6,73
01/02/1941,NA,38,49,40,83,8
08/02/1941,NA,58,13,52,45,61
15/02/1941,NA,51,2,15,56,47
22/02/1941,NA,17,3,90,37,73
01/03/1941,NA,6,46,69,17,36
08/03/1941,NA,38,42,33,23,39
15/03/1941,NA,43,86,87,41,50
22/03/1941,NA,45,71,44,10,65
29/03/1941,NA,61,83,28,82,76
05/04/1941,NA,32,6,4,85,41
12/04/1941,NA,68,45,9,43,16
19/04/1941,NA,44,35,10,74,16
26/04/1941,NA,10,83,64,46,27
03/05/1941,NA,44,7,36,90,76
10/05/1941,NA,90,72,6,81,21
17/05/1941,NA,17,82,60,74,68
24/05/1941,NA,25,34,66,65,5
31/05/1941,NA,21,20,79,6,42
07/06/1941,NA,35,83,57,27,10
14/06/1941,NA,88,77,82,62,70
21/06/1941,NA,89,29,66,24,38
28/06/1941,NA,40,9,10,44,75
05/07/1941,NA,71,18,29,24,72
12/07/1941,NA,17,82,54,23,66
19/07/1941,NA,47,27,6,7,55
26/07/1941,NA,50,65,87,66,53
02/08/1941,NA,45,28,32,11,23
09/08/1941,NA,43,30,68,90,58
16/08/1941,NA,39,81,83,84,14
23/08/1941,NA,7,8,78,70,48
30/08/1941,NA,76,35,38,82,56
06/09/1941,NA,67,15,2,59,4
13/09/1941,NA,59,8,37,50,84
20/09/1941,NA,19,18,42,74,53
27/09/1941,NA,45,18,51,32,37
04/10/1941,NA,60,38,74,29,41
11/10/1941,NA,74,45,20,29,12
18/10/1941,NA,71,75,86,58,82
25/10/1941,NA,4,58,88,87,64
01/11/1941,NA,58,30,59,31,34
08/11/1941,NA,6,47,38,89,60
15/11/1941,NA,76,54,30,66,90
22/11/1941,NA,16,27,61,21,8
29/11/1941,NA,10,46,36,23,13
06/12/1941,NA,87,62,34,73,28
13/12/1941,NA,7,35,58,82,67
20/12/1941,NA,50,72,9,42,55
27/12/1941,NA,17,15,79,35,90
03/01/1942,NA,58,15,73,23,78
10/01/1942,NA,46,77,66,28,1
17/01/1942,NA,36,29,81,28,88
24/01/1942,NA,75,23,89,15,70
31/01/1942,NA,77,87,80,10,34
07/02/1942,NA,36,89,5,52,7
14/02/1942,NA,81,34,32,49,61
21/02/1942,NA,33,22,14,60,88
28/02/1942,NA,40,86,5,29,55
07/03/1942,NA,47,15,3,8,63
14/03/1942,NA,83,78,45,64,59
21/03/1942,NA,30,35,53,45,85
28/03/1942,NA,71,39,8,86,38
04/04/1942,NA,44,62,6,49,7
11/04/1942,NA,44,83,77,4,17
18/04/1942,NA,44,61,73,3,78
25/04/1942,NA,29,38,67,22,66
02/05/1942,NA,18,89,8,55,42
09/05/1942,NA,83,8,35,55,52
16/05/1942,NA,61,26,60,24,18
23/05/1942,NA,88,16,71,69,22
30/05/1942,NA,13,26,8,29,34
06/06/1942,NA,60,10,53,47,6
13/06/1942,NA,55,80,1,32,58
20/06/1942,NA,28,26,74,35,11
27/06/1942,NA,32,49,70,72,5
04/07/1942,NA,40,72,64,77,36
