Data,Ruota,1,2,3,4,5
04/05/2005,NZ,72,12,42,57,31
07/05/2005,NZ,18,67,87,7,26
11/05/2005,NZ,67,86,41,60,31
14/05/2005,NZ,18,79,87,68,22
18/05/2005,NZ,34,8,36,18,60
21/05/2005,NZ,16,51,78,72,7
25/05/2005,NZ,57,80,82,5,23
28/05/2005,NZ,56,57,88,1,23
01/06/2005,NZ,64,72,70,54,27
04/06/2005,NZ,66,69,87,1,57
08/06/2005,NZ,84,16,72,45,12
11/06/2005,NZ,50,27,51,43,63
15/06/2005,NZ,4,19,59,27,71
18/06/2005,NZ,15,86,36,87,46
21/06/2005,NZ,55,20,53,76,28
23/06/2005,NZ,22,11,36,54,49
25/06/2005,NZ,87,27,10,2,32
28/06/2005,NZ,1,14,57,22,89
30/06/2005,NZ,50,23,46,34,66
02/07/2005,NZ,66,82,74,49,20
05/07/2005,NZ,51,82,4,6,3
07/07/2005,NZ,62,29,57,16,80
09/07/2005,NZ,2,15,49,39,62
12/07/2005,NZ,73,50,69,80,63
14/07/2005,NZ,53,12,49,5,9
16/07/2005,NZ,60,47,68,6,17
19/07/2005,NZ,90,42,84,7,52
21/07/2005,NZ,46,33,80,22,5
23/07/2005,NZ,61,64,31,67,37
26/07/2005,NZ,39,15,42,23,13
28/07/2005,NZ,42,61,82,53,30
30/07/2005,NZ,47,42,10,66,86
02/08/2005,NZ,58,35,65,53,79
04/08/2005,NZ,36,84,37,60,16
06/08/2005,NZ,74,53,5,37,54
09/08/2005,NZ,25,86,21,38,7
11/08/2005,NZ,4,28,29,15,13
13/08/2005,NZ,89,34,14,3,6
16/08/2005,NZ,37,65,79,9,4
18/08/2005,NZ,61,17,57,66,67
20/08/2005,NZ,29,53,12,32,69
23/08/2005,NZ,17,71,7,90,54
25/08/2005,NZ,71,70,20,64,7
27/08/2005,NZ,49,5,84,63,82
30/08/2005,NZ,88,60,10,4,89
01/09/2005,NZ,78,52,66,34,7
03/09/2005,NZ,55,44,33,7,38
06/09/2005,NZ,46,2,68,83,41
08/09/2005,NZ,17,27,83,21,56
10/09/2005,NZ,63,15,71,8,44
13/09/2005,NZ,78,62,47,54,18
15/09/2005,NZ,40,41,42,47,52
17/09/2005,NZ,68,28,87,14,34
20/09/2005,NZ,28,90,72,70,16
22/09/2005,NZ,52,45,51,71,38
24/09/2005,NZ,22,48,67,18,30
27/09/2005,NZ,47,18,62,56,48
29/09/2005,NZ,15,79,68,4,81
01/10/2005,NZ,59,38,11,88,54
04/10/2005,NZ,66,40,44,70,7
06/10/2005,NZ,34,36,72,50,89
08/10/2005,NZ,68,59,26,10,67
11/10/2005,NZ,2,81,55,22,25
13/10/2005,NZ,14,76,38,74,39
15/10/2005,NZ,11,22,1,87,48
18/10/2005,NZ,58,33,30,16,17
20/10/2005,NZ,83,78,90,52,37
22/10/2005,NZ,22,81,46,7,90
25/10/2005,NZ,68,69,63,26,20
27/10/2005,NZ,12,66,89,22,37
29/10/2005,NZ,58,38,40,15,69
02/11/2005,NZ,17,36,67,78,3
03/11/2005,NZ,23,5,21,83,61
05/11/2005,NZ,22,73,86,77,6
08/11/2005,NZ,40,61,44,14,84
10/11/2005,NZ,41,46,73,6,32
12/11/2005,NZ,4,49,57,79,48
15/11/2005,NZ,22,50,59,67,66
17/11/2005,NZ,44,39,61,84,1
19/11/2005,NZ,44,20,28,77,31
22/11/2005,NZ,68,39,35,83,52
24/11/2005,NZ,33,2,60,82,11
26/11/2005,NZ,17,79,21,30,22
29/11/2005,NZ,16,71,2,53,1
01/12/2005,NZ,23,22,77,57,20
03/12/2005,NZ,13,12,55,68,2
06/12/2005,NZ,65,45,30,69,35
09/12/2005,NZ,3,13,86,88,43
10/12/2005,NZ,27,78,81,65,75
13/12/2005,NZ,15,56,21,90,36
15/12/2005,NZ,87,48,8,77,43
17/12/2005,NZ,50,33,20,79,54
20/12/2005,NZ,3,70,9,38,21
22/12/2005,NZ,27,1,60,61,78
24/12/2005,NZ,53,11,65,16,37
27/12/2005,NZ,28,14,68,34,39
29/12/2005,NZ,86,70,32,27,4
31/12/2005,NZ,86,77,1,28,57
03/01/2006,NZ,77,7,70,27,4
05/01/2006,NZ,65,23,48,12,58
07/01/2006,NZ,71,83,7,6,29
10/01/2006,NZ,55,40,43,2,20
12/01/2006,NZ,6,85,46,27,65
14/01/2006,NZ,62,18,81,52,10
17/01/2006,NZ,13,8,47,9,86
19/01/2006,NZ,80,38,49,44,58
21/01/2006,NZ,61,36,9,84,11
24/01/2006,NZ,2,44,89,52,14
26/01/2006,NZ,20,68,57,87,33
28/01/2006,NZ,62,5,39,35,32
31/01/2006,NZ,23,78,63,27,24
02/02/2006,NZ,10,47,30,71,46
04/02/2006,NZ,26,83,25,9,38
07/02/2006,NZ,83,3,43,55,22
09/02/2006,NZ,35,90,83,48,27
11/02/2006,NZ,86,55,46,49,21
14/02/2006,NZ,7,9,69,67,12
16/02/2006,NZ,61,23,87,19,32
18/02/2006,NZ,55,40,80,53,41
21/02/2006,NZ,77,35,13,45,31
23/02/2006,NZ,61,20,2,58,11
25/02/2006,NZ,28,42,78,71,46
28/02/2006,NZ,56,17,67,75,29
02/03/2006,NZ,58,73,16,90,48
04/03/2006,NZ,90,47,16,7,10
07/03/2006,NZ,80,63,1,54,79
09/03/2006,NZ,37,62,53,88,73
11/03/2006,NZ,45,57,90,33,24
14/03/2006,NZ,2,83,53,15,32
16/03/2006,NZ,19,25,70,47,4
18/03/2006,NZ,87,3,67,56,33
21/03/2006,NZ,26,78,34,20,87
23/03/2006,NZ,77,9,18,22,35
25/03/2006,NZ,43,45,1,12,72
28/03/2006,NZ,68,38,86,15,19
30/03/2006,NZ,44,47,2,53,54
01/04/2006,NZ,23,16,20,19,14
04/04/2006,NZ,55,16,33,69,52
06/04/2006,NZ,6,79,21,47,5
08/04/2006,NZ,51,82,79,17,38
11/04/2006,NZ,49,4,55,66,27
13/04/2006,NZ,40,4,41,23,71
15/04/2006,NZ,63,61,68,66,10
18/04/2006,NZ,75,70,12,85,54
20/04/2006,NZ,42,22,5,66,29
22/04/2006,NZ,37,9,60,7,16
26/04/2006,NZ,36,72,51,75,35
27/04/2006,NZ,78,54,35,14,38
29/04/2006,NZ,7,22,28,37,89
02/05/2006,NZ,74,85,79,65,55
04/05/2006,NZ,19,50,11,13,56
06/05/2006,NZ,10,31,85,90,6
09/05/2006,NZ,89,53,57,35,10
11/05/2006,NZ,59,80,57,58,28
13/05/2006,NZ,56,50,53,2,88
16/05/2006,NZ,20,29,73,11,85
18/05/2006,NZ,78,1,41,18,20
20/05/2006,NZ,18,9,51,79,31
23/05/2006,NZ,78,49,14,67,59
25/05/2006,NZ,58,67,16,29,66
27/05/2006,NZ,1,64,14,89,19
30/05/2006,NZ,29,70,89,2,90
01/06/2006,NZ,16,43,58,14,25
03/06/2006,NZ,41,53,33,64,30
06/06/2006,NZ,46,11,77,82,4
08/06/2006,NZ,34,83,79,81,82
10/06/2006,NZ,62,37,84,39,71
13/06/2006,NZ,9,20,90,78,68
15/06/2006,NZ,12,22,28,21,30
17/06/2006,NZ,79,8,23,9,64
20/06/2006,NZ,37,42,20,79,14
22/06/2006,NZ,89,65,28,15,39
24/06/2006,NZ,54,84,89,9,10
27/06/2006,NZ,33,69,2,6,30
29/06/2006,NZ,70,21,37,68,69
01/07/2006,NZ,12,3,40,50,83
04/07/2006,NZ,20,83,86,25,82
06/07/2006,NZ,43,47,61,39,50
08/07/2006,NZ,8,40,63,69,2
11/07/2006,NZ,14,39,57,65,70
13/07/2006,NZ,32,22,62,72,40
15/07/2006,NZ,78,12,15,33,62
18/07/2006,NZ,13,17,28,85,73
20/07/2006,NZ,15,14,27,52,38
22/07/2006,NZ,40,89,62,88,57
25/07/2006,NZ,55,86,12,17,82
27/07/2006,NZ,71,19,82,73,9
29/07/2006,NZ,41,80,36,57,14
01/08/2006,NZ,19,15,27,44,80
03/08/2006,NZ,77,59,37,30,50
05/08/2006,NZ,69,27,2,26,63
08/08/2006,NZ,71,82,9,46,73
10/08/2006,NZ,84,68,12,35,52
12/08/2006,NZ,56,41,86,26,34
16/08/2006,NZ,66,31,50,70,13
17/08/2006,NZ,55,49,69,66,39
19/08/2006,NZ,74,84,83,58,25
22/08/2006,NZ,61,49,51,14,58
24/08/2006,NZ,24,60,53,62,82
26/08/2006,NZ,45,46,51,84,63
29/08/2006,NZ,90,31,53,63,42
31/08/2006,NZ,79,44,60,40,81
02/09/2006,NZ,61,8,78,29,28
05/09/2006,NZ,42,28,24,6,46
07/09/2006,NZ,49,61,88,27,68
09/09/2006,NZ,74,16,58,48,15
12/09/2006,NZ,88,90,35,15,17
14/09/2006,NZ,29,64,4,45,39
16/09/2006,NZ,46,82,90,22,86
19/09/2006,NZ,7,28,4,71,53
21/09/2006,NZ,29,83,35,67,1
23/09/2006,NZ,86,33,21,22,8
26/09/2006,NZ,16,30,12,66,61
28/09/2006,NZ,66,53,70,76,15
30/09/2006,NZ,90,7,17,5,81
03/10/2006,NZ,35,67,30,66,11
05/10/2006,NZ,53,21,43,9,10
07/10/2006,NZ,6,60,37,89,44
10/10/2006,NZ,10,77,83,75,25
12/10/2006,NZ,28,5,90,39,66
14/10/2006,NZ,12,40,36,67,89
17/10/2006,NZ,80,14,8,4,24
19/10/2006,NZ,83,47,34,42,4
21/10/2006,NZ,28,80,17,53,4
24/10/2006,NZ,85,73,42,54,6
26/10/2006,NZ,79,56,25,33,88
28/10/2006,NZ,61,33,67,55,86
31/10/2006,NZ,15,59,89,23,44
02/11/2006,NZ,31,70,89,21,42
04/11/2006,NZ,18,49,26,21,82
07/11/2006,NZ,49,87,61,12,63
09/11/2006,NZ,16,6,52,27,78
11/11/2006,NZ,69,8,37,6,55
14/11/2006,NZ,69,60,11,51,66
16/11/2006,NZ,62,82,18,74,32
18/11/2006,NZ,6,69,60,48,8
21/11/2006,NZ,1,12,15,24,20
23/11/2006,NZ,17,33,24,47,3
25/11/2006,NZ,30,47,16,72,10
28/11/2006,NZ,14,90,83,45,74
30/11/2006,NZ,53,7,67,51,49
02/12/2006,NZ,4,72,37,64,2
05/12/2006,NZ,27,90,15,17,61
07/12/2006,NZ,81,46,29,26,51
09/12/2006,NZ,7,23,59,80,12
12/12/2006,NZ,56,90,80,50,35
14/12/2006,NZ,59,87,40,77,45
16/12/2006,NZ,61,6,68,2,36
19/12/2006,NZ,50,56,22,8,61
21/12/2006,NZ,47,38,80,18,88
23/12/2006,NZ,13,45,35,4,64
27/12/2006,NZ,90,24,19,28,83
28/12/2006,NZ,70,17,73,76,19
30/12/2006,NZ,43,70,81,15,69
02/01/2007,NZ,65,75,78,88,2
04/01/2007,NZ,90,66,45,51,13
08/01/2007,NZ,46,80,16,24,42
09/01/2007,NZ,10,9,75,49,17
11/01/2007,NZ,70,13,66,4,50
13/01/2007,NZ,2,12,25,9,82
16/01/2007,NZ,3,62,33,48,78
18/01/2007,NZ,78,82,9,45,59
20/01/2007,NZ,17,61,39,18,48
23/01/2007,NZ,66,24,54,55,23
25/01/2007,NZ,90,27,56,34,84
27/01/2007,NZ,48,43,17,88,89
30/01/2007,NZ,57,84,39,11,82
01/02/2007,NZ,22,71,11,5,26
03/02/2007,NZ,44,62,32,73,1
06/02/2007,NZ,52,49,29,47,66
08/02/2007,NZ,83,26,75,89,28
10/02/2007,NZ,52,35,69,60,85
13/02/2007,NZ,2,4,30,90,83
15/02/2007,NZ,25,12,5,78,15
17/02/2007,NZ,89,43,59,7,29
