Data,Ruota,1,2,3,4,5
07/01/1939,PA,73,80,39,38,57
14/01/1939,PA,10,77,43,37,35
21/01/1939,PA,29,8,44,69,28
28/01/1939,PA,52,25,63,84,60
04/02/1939,PA,2,40,56,18,47
11/02/1939,PA,19,36,57,47,58
18/02/1939,PA,21,3,44,6,7
25/02/1939,PA,8,5,81,46,48
04/03/1939,PA,9,66,7,63,29
11/03/1939,PA,29,85,74,90,49
18/03/1939,PA,38,5,37,90,9
25/03/1939,PA,5,13,29,41,67
01/04/1939,PA,71,89,30,55,9
08/04/1939,PA,40,44,6,12,27
15/04/1939,PA,49,67,90,80,81
22/04/1939,PA,67,64,72,82,59
29/04/1939,PA,44,90,71,26,50
06/05/1939,PA,20,26,43,22,14
13/05/1939,PA,45,30,57,64,84
20/05/1939,PA,34,38,45,69,31
27/05/1939,PA,40,29,16,24,47
03/06/1939,PA,25,82,35,32,23
10/06/1939,PA,23,1,13,9,69
17/06/1939,PA,67,84,44,79,70
24/06/1939,PA,18,56,50,77,2
01/07/1939,PA,75,73,4,6,76
08/07/1939,PA,10,33,87,13,42
15/07/1939,PA,14,41,34,85,35
22/07/1939,PA,38,74,39,69,47
29/07/1939,PA,74,33,48,10,40
05/08/1939,PA,75,39,64,79,85
12/08/1939,PA,21,16,27,51,32
19/08/1939,PA,18,10,78,84,74
26/08/1939,PA,69,3,57,68,26
02/09/1939,PA,22,19,65,37,28
09/09/1939,PA,2,36,26,87,88
16/09/1939,PA,80,69,34,82,60
23/09/1939,PA,42,33,10,48,87
30/09/1939,PA,71,57,51,14,41
07/10/1939,PA,8,46,55,70,87
14/10/1939,PA,75,9,86,28,2
21/10/1939,PA,74,55,73,42,71
28/10/1939,PA,21,75,59,45,14
04/11/1939,PA,34,68,81,50,1
11/11/1939,PA,48,8,90,63,30
18/11/1939,PA,52,64,6,62,61
25/11/1939,PA,40,76,16,26,34
02/12/1939,PA,32,88,11,34,3
09/12/1939,PA,70,81,10,38,19
16/12/1939,PA,73,82,46,72,69
23/12/1939,PA,70,83,79,50,37
30/12/1939,PA,58,78,68,51,73
06/01/1940,PA,79,18,84,47,76
13/01/1940,PA,51,43,60,12,87
20/01/1940,PA,53,8,81,9,24
27/01/1940,PA,22,4,20,90,17
03/02/1940,PA,59,71,10,80,72
10/02/1940,PA,73,68,89,56,7
17/02/1940,PA,21,59,43,89,2
24/02/1940,PA,86,75,29,88,36
02/03/1940,PA,64,46,57,38,89
09/03/1940,PA,69,65,6,75,40
16/03/1940,PA,80,74,40,18,44
23/03/1940,PA,23,62,39,63,29
30/03/1940,PA,6,77,72,15,87
06/04/1940,PA,40,47,79,71,63
13/04/1940,PA,44,3,35,82,67
20/04/1940,PA,54,70,66,53,71
27/04/1940,PA,45,29,5,2,27
04/05/1940,PA,75,47,7,17,55
11/05/1940,PA,15,25,68,54,10
18/05/1940,PA,28,32,59,71,41
25/05/1940,PA,81,18,58,21,39
01/06/1940,PA,69,86,48,41,38
08/06/1940,PA,8,72,26,5,6
15/06/1940,PA,43,60,54,19,44
22/06/1940,PA,61,35,56,52,31
29/06/1940,PA,59,11,14,85,43
06/07/1940,PA,44,39,28,17,75
13/07/1940,PA,88,49,81,64,56
20/07/1940,PA,56,89,73,83,68
27/07/1940,PA,55,35,76,53,47
03/08/1940,PA,28,34,69,9,40
10/08/1940,PA,63,70,87,19,12
17/08/1940,PA,43,27,67,11,50
24/08/1940,PA,43,11,19,51,68
31/08/1940,PA,90,72,51,69,25
07/09/1940,PA,52,68,54,55,22
14/09/1940,PA,76,51,11,36,17
21/09/1940,PA,14,85,18,72,59
28/09/1940,PA,34,1,45,23,60
05/10/1940,PA,76,45,79,10,90
12/10/1940,PA,9,90,51,5,76
19/10/1940,PA,77,44,64,30,81
26/10/1940,PA,2,44,68,66,5
02/11/1940,PA,78,10,12,64,27
09/11/1940,PA,58,49,3,39,46
16/11/1940,PA,57,83,7,51,60
23/11/1940,PA,32,26,8,50,52
30/11/1940,PA,55,75,31,51,34
07/12/1940,PA,89,33,65,73,38
14/12/1940,PA,14,24,63,76,22
21/12/1940,PA,24,52,84,69,18
28/12/1940,PA,28,3,23,35,84
04/01/1941,PA,12,85,36,72,28
11/01/1941,PA,57,75,4,51,28
18/01/1941,PA,31,27,24,80,33
25/01/1941,PA,76,18,56,6,45
01/02/1941,PA,49,54,15,2,72
08/02/1941,PA,44,57,59,40,51
15/02/1941,PA,56,83,76,77,54
22/02/1941,PA,38,73,88,26,52
01/03/1941,PA,28,85,66,60,86
08/03/1941,PA,69,81,87,40,53
15/03/1941,PA,69,56,28,15,63
22/03/1941,PA,14,4,70,53,32
29/03/1941,PA,36,89,29,85,83
05/04/1941,PA,61,43,7,60,4
12/04/1941,PA,74,12,64,84,52
19/04/1941,PA,80,47,36,81,52
26/04/1941,PA,48,2,50,40,32
03/05/1941,PA,38,63,12,68,19
10/05/1941,PA,45,1,21,9,4
17/05/1941,PA,32,70,36,22,7
24/05/1941,PA,85,89,5,8,70
31/05/1941,PA,70,28,9,61,6
07/06/1941,PA,25,44,70,13,67
14/06/1941,PA,62,20,77,78,49
21/06/1941,PA,15,31,46,29,54
28/06/1941,PA,27,29,7,14,36
05/07/1941,PA,29,33,45,6,26
12/07/1941,PA,58,52,29,34,5
19/07/1941,PA,50,72,4,8,46
26/07/1941,PA,14,22,87,65,41
02/08/1941,PA,48,33,30,21,75
09/08/1941,PA,81,22,23,50,41
16/08/1941,PA,82,54,42,55,90
23/08/1941,PA,70,64,61,68,1
30/08/1941,PA,35,2,17,53,67
06/09/1941,PA,22,6,36,90,58
13/09/1941,PA,60,6,12,55,69
20/09/1941,PA,79,20,83,55,7
27/09/1941,PA,75,43,61,76,66
