Data,Ruota,1,2,3,4,5
07/01/1939,RO,73,24,4,39,22
14/01/1939,RO,4,86,61,84,58
21/01/1939,RO,36,74,7,70,76
28/01/1939,RO,56,87,82,90,53
04/02/1939,RO,53,35,10,18,86
11/02/1939,RO,33,11,81,9,72
18/02/1939,RO,2,60,6,58,1
25/02/1939,RO,79,24,3,39,10
04/03/1939,RO,2,73,72,89,20
11/03/1939,RO,86,78,26,28,24
18/03/1939,RO,69,47,54,88,1
25/03/1939,RO,43,47,70,15,58
01/04/1939,RO,28,30,2,35,54
08/04/1939,RO,14,37,44,24,82
15/04/1939,RO,38,66,24,33,69
22/04/1939,RO,59,68,78,11,75
29/04/1939,RO,35,39,86,66,32
06/05/1939,RO,75,71,85,22,81
13/05/1939,RO,73,80,23,6,76
20/05/1939,RO,35,3,87,60,24
27/05/1939,RO,77,62,75,40,6
03/06/1939,RO,22,57,6,1,4
10/06/1939,RO,66,53,16,85,22
17/06/1939,RO,88,76,71,32,9
24/06/1939,RO,75,33,83,35,14
01/07/1939,RO,42,68,73,9,71
08/07/1939,RO,52,38,22,79,36
15/07/1939,RO,79,61,85,28,4
22/07/1939,RO,65,36,52,50,75
29/07/1939,RO,17,21,51,57,85
05/08/1939,RO,72,63,62,66,68
12/08/1939,RO,47,85,76,39,25
19/08/1939,RO,54,80,90,57,42
26/08/1939,RO,10,13,45,46,51
02/09/1939,RO,25,33,89,45,64
09/09/1939,RO,62,28,63,82,33
16/09/1939,RO,41,1,36,82,87
23/09/1939,RO,21,27,1,30,71
30/09/1939,RO,62,58,5,44,68
07/10/1939,RO,39,59,4,72,11
14/10/1939,RO,66,76,32,23,2
21/10/1939,RO,82,13,63,89,73
28/10/1939,RO,67,20,23,64,86
04/11/1939,RO,48,40,56,33,45
11/11/1939,RO,49,15,57,4,80
18/11/1939,RO,80,22,77,11,70
25/11/1939,RO,49,26,46,57,30
02/12/1939,RO,12,49,19,53,82
09/12/1939,RO,14,82,64,47,66
16/12/1939,RO,86,60,90,45,40
23/12/1939,RO,66,53,20,5,86
30/12/1939,RO,27,57,33,53,23
06/01/1940,RO,4,82,50,81,85
13/01/1940,RO,60,72,45,9,13
20/01/1940,RO,29,11,9,84,70
