Data,Ruota,1,2,3,4,5
07/01/1939,TO,19,43,10,31,27
14/01/1939,TO,82,7,15,88,34
21/01/1939,TO,36,41,43,35,40
28/01/1939,TO,27,48,40,33,67
04/02/1939,TO,89,1,79,52,9
11/02/1939,TO,36,29,68,17,81
18/02/1939,TO,47,13,55,15,25
25/02/1939,TO,42,86,62,25,57
04/03/1939,TO,34,66,55,22,82
11/03/1939,TO,26,10,71,7,75
18/03/1939,TO,27,12,58,33,21
25/03/1939,TO,2,31,34,61,55
01/04/1939,TO,5,11,55,31,40
08/04/1939,TO,21,52,19,47,35
15/04/1939,TO,56,1,17,16,6
22/04/1939,TO,9,64,5,76,6
29/04/1939,TO,81,79,47,84,18
06/05/1939,TO,60,32,68,35,46
13/05/1939,TO,57,13,46,47,65
20/05/1939,TO,88,69,49,68,37
27/05/1939,TO,8,83,4,46,16
03/06/1939,TO,11,39,49,62,74
10/06/1939,TO,62,45,81,31,51
17/06/1939,TO,13,40,31,41,16
24/06/1939,TO,70,16,81,54,24
01/07/1939,TO,17,2,47,82,11
08/07/1939,TO,83,29,22,44,84
15/07/1939,TO,2,82,89,79,83
22/07/1939,TO,35,46,69,51,43
29/07/1939,TO,33,76,31,47,86
05/08/1939,TO,69,41,50,25,27
12/08/1939,TO,55,63,54,29,64
19/08/1939,TO,42,15,65,59,69
26/08/1939,TO,18,45,40,38,21
02/09/1939,TO,8,58,13,60,37
09/09/1939,TO,86,49,5,65,39
16/09/1939,TO,87,68,60,9,26
23/09/1939,TO,25,1,33,75,70
30/09/1939,TO,3,20,5,42,76
07/10/1939,TO,32,27,31,3,77
14/10/1939,TO,83,48,14,9,26
21/10/1939,TO,40,82,76,58,61
28/10/1939,TO,42,80,23,82,17
04/11/1939,TO,73,62,70,27,24
11/11/1939,TO,29,84,77,50,24
18/11/1939,TO,1,88,52,63,85
25/11/1939,TO,46,75,74,72,65
02/12/1939,TO,79,4,58,16,86
09/12/1939,TO,11,36,20,30,2
16/12/1939,TO,67,79,86,73,62
23/12/1939,TO,20,30,83,48,15
30/12/1939,TO,16,57,61,39,28
06/01/1940,TO,63,12,46,24,39
13/01/1940,TO,25,68,87,39,83
20/01/1940,TO,21,61,15,71,44
27/01/1940,TO,58,68,19,1,34
03/02/1940,TO,24,17,50,38,11
10/02/1940,TO,63,33,29,46,51
17/02/1940,TO,43,2,3,69,34
24/02/1940,TO,19,47,35,84,51
02/03/1940,TO,40,28,73,65,76
09/03/1940,TO,49,52,21,42,31
16/03/1940,TO,12,72,14,5,59
23/03/1940,TO,10,56,46,55,68
30/03/1940,TO,57,59,72,14,52
06/04/1940,TO,60,70,17,57,7
13/04/1940,TO,34,79,14,37,57
20/04/1940,TO,85,13,40,34,77
27/04/1940,TO,84,90,42,85,71
04/05/1940,TO,14,19,58,48,73
11/05/1940,TO,21,71,34,83,82
18/05/1940,TO,80,83,5,79,19
25/05/1940,TO,51,13,68,63,16
01/06/1940,TO,23,24,85,4,70
08/06/1940,TO,11,72,12,32,89
15/06/1940,TO,51,48,45,3,64
22/06/1940,TO,5,38,25,2,18
29/06/1940,TO,73,31,20,49,18
06/07/1940,TO,61,22,55,32,33
13/07/1940,TO,55,21,81,79,27
20/07/1940,TO,23,41,56,46,80
27/07/1940,TO,30,14,28,9,54
03/08/1940,TO,50,68,8,16,89
10/08/1940,TO,30,23,66,37,19
17/08/1940,TO,17,15,64,35,25
24/08/1940,TO,35,75,85,51,14
31/08/1940,TO,70,22,28,86,6
07/09/1940,TO,79,3,28,76,77
14/09/1940,TO,34,2,39,37,51
21/09/1940,TO,8,43,21,20,34
28/09/1940,TO,72,60,42,37,14
05/10/1940,TO,74,36,77,7,42
12/10/1940,TO,82,60,56,9,21
19/10/1940,TO,19,83,90,17,18
26/10/1940,TO,60,12,85,45,58
02/11/1940,TO,20,46,64,85,8
09/11/1940,TO,64,69,8,22,29
16/11/1940,TO,53,79,78,76,7
23/11/1940,TO,48,71,89,90,66
30/11/1940,TO,62,11,52,56,8
07/12/1940,TO,71,15,74,3,63
14/12/1940,TO,41,75,87,6,81
21/12/1940,TO,81,64,62,30,41
28/12/1940,TO,60,51,62,29,6
04/01/1941,TO,69,66,42,65,43
11/01/1941,TO,17,87,65,73,90
18/01/1941,TO,79,86,63,37,47
25/01/1941,TO,19,13,31,8,35
01/02/1941,TO,45,61,30,29,59
08/02/1941,TO,30,37,78,19,52
15/02/1941,TO,47,81,67,79,4
22/02/1941,TO,42,65,67,20,3
01/03/1941,TO,90,63,70,7,45
08/03/1941,TO,21,37,76,54,84
15/03/1941,TO,43,66,17,83,13
22/03/1941,TO,52,56,37,69,87
29/03/1941,TO,71,38,5,76,78
05/04/1941,TO,49,89,36,6,43
12/04/1941,TO,7,77,60,59,51
19/04/1941,TO,5,27,44,85,55
26/04/1941,TO,1,2,13,88,57
03/05/1941,TO,20,29,55,19,45
10/05/1941,TO,78,79,28,77,71
17/05/1941,TO,42,31,4,82,46
24/05/1941,TO,83,50,10,13,21
31/05/1941,TO,89,5,69,63,47
07/06/1941,TO,37,78,89,72,65
14/06/1941,TO,8,80,49,9,37
21/06/1941,TO,3,25,82,73,39
28/06/1941,TO,6,43,35,20,89
05/07/1941,TO,61,56,88,41,39
12/07/1941,TO,41,62,37,56,16
19/07/1941,TO,20,82,37,25,16
26/07/1941,TO,84,62,37,67,75
02/08/1941,TO,55,54,76,13,77
09/08/1941,TO,80,36,86,75,60
16/08/1941,TO,40,90,64,75,41
23/08/1941,TO,46,78,42,67,36
30/08/1941,TO,83,81,1,47,78
06/09/1941,TO,66,67,75,33,59
13/09/1941,TO,71,89,10,86,75
20/09/1941,TO,51,55,41,38,50
27/09/1941,TO,41,68,45,78,74
04/10/1941,TO,51,64,69,32,38
11/10/1941,TO,67,89,58,79,57
18/10/1941,TO,72,24,4,78,3
25/10/1941,TO,66,36,31,84,5
01/11/1941,TO,89,54,83,13,34
08/11/1941,TO,51,60,34,75,77
15/11/1941,TO,5,61,71,12,47
22/11/1941,TO,75,76,31,81,89
29/11/1941,TO,41,51,67,71,45
06/12/1941,TO,72,56,45,22,39
13/12/1941,TO,21,7,71,74,15
20/12/1941,TO,8,85,4,9,80
27/12/1941,TO,31,61,14,57,9
03/01/1942,TO,13,12,69,34,30
10/01/1942,TO,64,50,36,9,5
17/01/1942,TO,66,33,80,74,23
24/01/1942,TO,50,73,69,57,82
31/01/1942,TO,41,76,70,26,25
07/02/1942,TO,78,43,11,33,75
14/02/1942,TO,9,18,57,12,71
21/02/1942,TO,32,85,86,11,69
28/02/1942,TO,27,7,45,39,60
07/03/1942,TO,59,70,90,48,15
14/03/1942,TO,63,65,56,25,79
21/03/1942,TO,41,51,19,23,20
28/03/1942,TO,43,71,24,46,53
04/04/1942,TO,87,67,70,26,41
11/04/1942,TO,47,34,58,19,54
18/04/1942,TO,62,71,32,30,72
25/04/1942,TO,63,73,64,41,86
02/05/1942,TO,52,54,68,29,43
09/05/1942,TO,55,87,19,24,88
16/05/1942,TO,32,57,18,1,31
23/05/1942,TO,37,22,71,11,48
30/05/1942,TO,12,33,37,74,62
06/06/1942,TO,24,82,80,66,42
13/06/1942,TO,4,29,77,89,16
20/06/1942,TO,60,56,85,64,62
27/06/1942,TO,43,21,38,5,75
04/07/1942,TO,46,31,35,1,43
11/07/1942,TO,16,44,8,7,70
18/07/1942,TO,89,27,18,48,29
25/07/1942,TO,15,17,88,45,80
01/08/1942,TO,76,57,86,81,74
08/08/1942,TO,35,81,12,88,83
15/08/1942,TO,87,7,21,5,39
22/08/1942,TO,54,77,52,37,5
29/08/1942,TO,35,42,19,45,73
05/09/1942,TO,61,39,28,67,25
12/09/1942,TO,19,9,4,64,18
19/09/1942,TO,12,35,79,15,89
26/09/1942,TO,63,78,17,79,85
03/10/1942,TO,61,62,30,44,65
10/10/1942,TO,28,45,35,24,34
17/10/1942,TO,50,14,16,7,35
24/10/1942,TO,85,86,34,18,6
31/10/1942,TO,72,48,31,52,47
07/11/1942,TO,47,27,76,77,68
14/11/1942,TO,90,62,81,20,2
21/11/1942,TO,75,61,38,56,28
28/11/1942,TO,24,21,80,61,14
05/12/1942,TO,79,50,29,34,30
12/12/1942,TO,43,1,26,27,55
19/12/1942,TO,76,33,83,40,81
26/12/1942,TO,5,84,48,1,75
02/01/1943,TO,56,21,8,5,41
09/01/1943,TO,47,48,42,64,24
16/01/1943,TO,70,57,56,50,81
23/01/1943,TO,29,40,75,37,41
30/01/1943,TO,88,61,22,44,59
06/02/1943,TO,37,27,66,6,65
13/02/1943,TO,87,79,9,40,13
20/02/1943,TO,1,70,9,48,21
27/02/1943,TO,50,44,24,23,68
06/03/1943,TO,41,33,28,69,68
13/03/1943,TO,80,89,82,1,44
20/03/1943,TO,63,50,3,68,62
27/03/1943,TO,82,80,50,10,15
03/04/1943,TO,30,80,12,81,31
10/04/1943,TO,49,1,61,24,68
17/04/1943,TO,21,47,45,85,88
24/04/1943,TO,31,14,23,80,72
01/05/1943,TO,36,25,85,81,10
08/05/1943,TO,74,59,33,18,40
15/05/1943,TO,22,1,43,48,35
22/05/1943,TO,50,17,41,66,64
29/05/1943,TO,44,66,39,6,62
05/06/1943,TO,28,62,20,23,16
12/06/1943,TO,67,27,69,86,40
19/06/1943,TO,11,67,75,18,70
26/06/1943,TO,20,14,15,81,60
03/07/1943,TO,60,34,12,57,7
10/07/1943,TO,57,6,66,33,5
17/07/1943,TO,20,15,11,23,42
24/07/1943,TO,17,49,48,67,37
31/07/1943,TO,25,68,81,39,4
07/08/1943,TO,56,48,29,89,76
14/08/1943,TO,44,66,8,68,33
21/08/1943,TO,39,82,27,75,61
28/08/1943,TO,41,3,23,10,79
04/09/1943,TO,44,61,64,80,31
11/09/1943,TO,14,75,38,48,24
18/09/1943,TO,12,70,36,20,30
25/09/1943,TO,70,63,60,6,76
02/10/1943,TO,75,71,61,45,83
09/10/1943,TO,29,5,37,17,44
16/10/1943,TO,4,60,56,21,3
23/10/1943,TO,59,40,25,61,57
30/10/1943,TO,85,16,10,13,87
06/11/1943,TO,64,2,87,54,36
13/11/1943,TO,34,81,46,28,43
20/11/1943,TO,74,19,54,3,26
27/11/1943,TO,71,6,13,83,32
04/12/1943,TO,79,70,65,74,64
11/12/1943,TO,75,53,85,20,42
18/12/1943,TO,26,48,61,3,55
25/12/1943,TO,68,86,82,11,40
01/01/1944,TO,31,53,89,50,22
08/01/1944,TO,45,64,84,25,90
15/01/1944,TO,21,29,55,90,17
22/01/1944,TO,16,69,85,37,62
29/01/1944,TO,79,34,12,78,20
05/02/1944,TO,18,7,21,2,87
12/02/1944,TO,60,20,39,16,1
19/02/1944,TO,80,23,7,81,69
26/02/1944,TO,68,11,77,56,48
04/03/1944,TO,87,53,54,74,64
11/03/1944,TO,81,11,27,87,77
18/03/1944,TO,58,25,73,32,13
01/04/1944,TO,78,89,9,6,73
08/04/1944,TO,34,15,59,54,13
22/04/1944,TO,82,36,37,2,56
29/04/1944,TO,90,36,50,79,45
06/05/1944,TO,72,89,57,74,40
13/05/1944,TO,48,33,14,60,24
20/05/1944,TO,50,15,40,26,86
27/05/1944,TO,40,3,64,10,86
03/06/1944,TO,1,63,30,56,31
10/06/1944,TO,90,47,67,81,10
17/06/1944,TO,36,64,65,86,20
24/06/1944,TO,28,35,51,39,9
01/07/1944,TO,60,86,49,71,47
08/07/1944,TO,67,49,79,85,9
15/07/1944,TO,60,35,44,16,15
22/07/1944,TO,38,80,50,85,34
29/07/1944,TO,48,61,46,56,11
05/08/1944,TO,19,7,35,79,36
12/08/1944,TO,45,49,46,69,27
19/08/1944,TO,24,35,69,28,38
26/08/1944,TO,59,55,81,75,63
02/09/1944,TO,18,21,4,85,74
09/09/1944,TO,77,90,42,39,9
16/09/1944,TO,69,46,63,12,34
30/09/1944,TO,46,77,14,19,55
07/10/1944,TO,8,88,66,30,7
14/10/1944,TO,88,59,50,73,78
21/10/1944,TO,43,60,38,84,66
28/10/1944,TO,68,16,24,42,35
04/11/1944,TO,57,89,35,68,36
11/11/1944,TO,46,38,36,42,61
18/11/1944,TO,62,9,53,72,31
25/11/1944,TO,73,2,80,35,46
02/12/1944,TO,31,60,27,42,32
09/12/1944,TO,15,21,55,53,25
16/12/1944,TO,61,9,71,90,66
23/12/1944,TO,86,29,47,50,10
30/12/1944,TO,12,49,89,81,23
05/01/1945,TO,52,54,61,12,41
13/01/1945,TO,7,69,23,3,15
20/01/1945,TO,29,11,81,19,28
27/01/1945,TO,77,57,42,47,4
03/02/1945,TO,6,44,66,39,60
10/02/1945,TO,6,19,4,60,17
17/02/1945,TO,3,31,19,74,16
24/02/1945,TO,59,41,63,10,12
03/03/1945,TO,42,49,63,59,16
10/03/1945,TO,73,61,80,65,79
17/03/1945,TO,25,24,49,51,8
24/03/1945,TO,23,86,5,1,65
31/03/1945,TO,59,13,31,84,68
07/04/1945,TO,5,32,21,18,8
14/04/1945,TO,26,12,9,77,88
21/04/1945,TO,40,20,66,31,62
05/05/1945,TO,52,85,14,20,79
12/05/1945,TO,77,8,6,78,54
19/05/1945,TO,38,23,52,2,61
26/05/1945,TO,70,40,6,63,50
02/06/1945,TO,58,75,18,29,30
09/06/1945,TO,27,69,16,52,35
16/06/1945,TO,86,83,25,31,11
23/06/1945,TO,61,82,11,23,70
30/06/1945,TO,11,19,60,75,10
07/07/1945,TO,62,86,7,50,42
14/07/1945,TO,2,30,34,10,65
21/07/1945,TO,52,59,69,36,16
28/07/1945,TO,57,27,37,43,25
04/08/1945,TO,90,48,15,81,42
11/08/1945,TO,41,63,86,82,25
18/08/1945,TO,89,78,33,39,81
25/08/1945,TO,9,47,38,67,83
01/09/1945,TO,20,40,11,5,43
08/09/1945,TO,11,58,86,54,47
15/09/1945,TO,44,62,45,4,70
22/09/1945,TO,46,79,58,40,73
29/09/1945,TO,1,19,38,70,62
06/10/1945,TO,69,75,18,22,20
