Data,Ruota,1,2,3,4,5
07/01/1939,VE,9,43,61,14,75
14/01/1939,VE,85,21,45,65,56
21/01/1939,VE,76,85,50,42,22
28/01/1939,VE,58,84,13,51,32
04/02/1939,VE,37,33,13,51,49
11/02/1939,VE,79,51,21,46,62
18/02/1939,VE,68,41,25,66,61
25/02/1939,VE,22,86,2,37,44
04/03/1939,VE,85,61,32,35,76
11/03/1939,VE,15,26,28,38,76
18/03/1939,VE,69,3,28,48,8
25/03/1939,VE,21,10,71,76,4
01/04/1939,VE,77,76,81,51,27
08/04/1939,VE,42,65,88,73,23
15/04/1939,VE,7,25,72,86,48
22/04/1939,VE,86,70,60,63,7
29/04/1939,VE,50,51,66,14,25
06/05/1939,VE,73,61,12,67,15
13/05/1939,VE,1,66,39,54,47
20/05/1939,VE,2,8,47,65,26
27/05/1939,VE,13,74,64,49,10
03/06/1939,VE,67,68,48,75,18
10/06/1939,VE,28,6,42,85,48
17/06/1939,VE,30,14,23,47,74
24/06/1939,VE,61,68,9,16,19
01/07/1939,VE,74,10,24,34,75
08/07/1939,VE,45,14,10,7,61
15/07/1939,VE,66,75,90,32,50
22/07/1939,VE,21,17,36,28,64
29/07/1939,VE,85,34,32,57,45
05/08/1939,VE,51,2,13,71,26
12/08/1939,VE,47,40,87,88,21
19/08/1939,VE,3,90,1,80,56
26/08/1939,VE,89,57,18,32,10
02/09/1939,VE,76,56,24,79,81
09/09/1939,VE,18,80,63,65,46
16/09/1939,VE,68,17,13,36,11
23/09/1939,VE,29,71,79,46,80
30/09/1939,VE,36,68,25,50,33
07/10/1939,VE,9,25,76,53,67
14/10/1939,VE,35,86,8,45,71
21/10/1939,VE,40,18,61,27,37
28/10/1939,VE,18,24,2,80,74
04/11/1939,VE,46,81,48,30,70
11/11/1939,VE,6,24,30,27,79
18/11/1939,VE,42,20,32,86,17
25/11/1939,VE,89,47,58,70,82
02/12/1939,VE,59,87,30,64,50
09/12/1939,VE,84,9,1,38,90
16/12/1939,VE,90,26,73,70,85
23/12/1939,VE,8,25,70,17,63
30/12/1939,VE,56,44,77,50,35
06/01/1940,VE,88,40,75,83,23
13/01/1940,VE,78,11,62,51,54
20/01/1940,VE,77,5,46,80,57
27/01/1940,VE,76,1,32,22,50
03/02/1940,VE,67,27,10,51,4
10/02/1940,VE,48,42,73,86,51
17/02/1940,VE,35,58,67,49,59
24/02/1940,VE,25,53,22,63,40
02/03/1940,VE,15,1,88,89,44
09/03/1940,VE,56,72,57,85,7
16/03/1940,VE,85,38,11,24,30
23/03/1940,VE,53,44,48,5,20
30/03/1940,VE,8,19,69,12,82
06/04/1940,VE,18,32,41,48,80
13/04/1940,VE,47,41,81,44,71
20/04/1940,VE,29,75,62,14,85
27/04/1940,VE,85,11,33,24,15
04/05/1940,VE,1,26,27,79,48
11/05/1940,VE,90,10,82,65,73
18/05/1940,VE,40,13,60,55,9
25/05/1940,VE,18,77,11,1,75
01/06/1940,VE,65,53,72,23,59
08/06/1940,VE,42,40,36,78,28
15/06/1940,VE,76,36,35,50,33
22/06/1940,VE,85,39,62,12,48
29/06/1940,VE,66,81,69,55,61
06/07/1940,VE,51,65,52,6,15
13/07/1940,VE,3,37,31,26,2
20/07/1940,VE,62,38,85,12,54
27/07/1940,VE,54,14,67,81,48
03/08/1940,VE,15,74,18,56,72
10/08/1940,VE,42,86,3,81,66
17/08/1940,VE,71,52,1,81,75
24/08/1940,VE,67,20,66,33,40
31/08/1940,VE,59,21,29,16,37
07/09/1940,VE,34,64,84,45,1
14/09/1940,VE,13,2,73,42,76
21/09/1940,VE,40,62,6,78,51
28/09/1940,VE,59,41,1,35,20
05/10/1940,VE,35,65,38,75,9
12/10/1940,VE,38,45,36,12,14
19/10/1940,VE,18,34,42,24,37
26/10/1940,VE,67,3,55,11,64
02/11/1940,VE,76,30,56,81,79
09/11/1940,VE,65,57,25,81,15
16/11/1940,VE,63,77,14,37,50
23/11/1940,VE,15,47,51,33,44
30/11/1940,VE,41,49,80,85,56
07/12/1940,VE,34,10,55,67,78
14/12/1940,VE,4,2,42,14,75
21/12/1940,VE,65,18,4,81,85
28/12/1940,VE,13,17,4,7,41
04/01/1941,VE,38,21,15,35,6
11/01/1941,VE,19,63,14,54,6
18/01/1941,VE,25,60,73,87,76
25/01/1941,VE,67,54,6,89,34
01/02/1941,VE,40,83,19,26,56
08/02/1941,VE,9,13,61,76,35
15/02/1941,VE,40,78,34,66,16
22/02/1941,VE,20,19,30,82,71
01/03/1941,VE,26,82,29,46,71
08/03/1941,VE,33,41,74,16,31
15/03/1941,VE,77,58,48,9,75
22/03/1941,VE,35,51,33,58,45
29/03/1941,VE,45,86,42,78,55
05/04/1941,VE,60,53,15,1,33
12/04/1941,VE,2,58,1,40,27
19/04/1941,VE,15,43,27,73,6
26/04/1941,VE,64,1,51,53,2
03/05/1941,VE,6,33,13,65,22
10/05/1941,VE,74,73,4,55,36
17/05/1941,VE,71,15,43,58,76
