Ambi,uscite,Spia10,rip10,tra10,Spia20,rip20,tra20
"[1, 2]",21,88,21,-16,88,40,-6
"[1, 3]",14,81,18,5,44,25,-14
"[1, 4]",21,40,22,1,48,41,6
"[1, 5]",11,1,12,-39,46,21,12
"[1, 6]",22,82,22,5,29,34,8
"[1, 7]",9,54,11,-6,42,18,-22
"[1, 8]",20,81,20,5,46,33,12
"[1, 9]",21,17,20,-17,6,38,-6
"[1, 10]",23,77,21,-7,87,36,-31
"[1, 11]",14,19,13,1,25,26,-38
"[1, 12]",22,20,23,4,56,35,-1
"[1, 13]",21,48,19,-4,27,33,-46
"[1, 14]",11,66,15,-3,66,25,7
"[1, 15]",24,14,22,-1,5,39,-52
"[1, 16]",20,83,19,6,48,34,6
"[1, 17]",12,62,13,-23,81,22,15
"[1, 18]",25,34,22,-10,36,43,15
"[1, 19]",19,59,21,-4,59,33,6
"[1, 20]",17,81,16,5,26,30,5
"[1, 21]",17,61,16,3,40,30,11
"[1, 22]",17,85,19,6,26,31,5
"[1, 23]",22,88,22,-16,43,38,13
"[1, 24]",13,12,13,-37,10,24,9
"[1, 25]",21,3,21,5,26,37,5
"[1, 26]",14,83,14,6,10,27,9
"[1, 27]",16,44,15,-24,37,32,8
"[1, 28]",13,87,15,-41,87,28,-31
"[1, 29]",18,88,18,-16,83,31,16
"[1, 30]",13,88,14,-16,88,24,-6
"[1, 31]",23,54,23,-6,3,41,15
"[1, 32]",9,54,12,-6,54,20,4
"[1, 33]",22,24,23,-16,89,35,14
"[1, 34]",23,15,21,-6,84,41,16
"[1, 35]",25,63,24,-13,54,42,4
"[1, 36]",18,6,18,-16,87,30,-31
"[1, 37]",13,37,13,-2,48,26,6
"[1, 38]",17,6,20,-16,87,29,-31
"[1, 39]",13,48,15,-4,12,25,-27
"[1, 40]",21,68,20,-31,59,33,6
"[1, 41]",25,6,25,-16,77,40,3
"[1, 42]",22,59,22,-4,74,37,17
"[1, 43]",18,29,17,-2,49,33,-1
"[1, 44]",12,15,13,-6,15,25,4
"[1, 45]",16,48,24,-4,48,32,6
"[1, 46]",13,80,13,9,58,24,19
"[1, 47]",18,34,18,-10,53,30,0
"[1, 48]",27,38,23,2,10,51,9
"[1, 49]",16,22,20,2,22,31,12
"[1, 50]",13,29,14,-2,47,23,18
"[1, 51]",18,10,20,-1,10,32,9
"[1, 52]",11,49,13,-11,49,21,-1
"[1, 53]",15,82,15,5,82,28,15
"[1, 54]",22,3,21,5,8,36,11
"[1, 55]",14,37,15,-2,47,28,18
"[1, 56]",21,12,24,-37,12,38,-27
"[1, 57]",12,7,13,7,17,21,-7
"[1, 58]",18,16,17,9,43,29,13
"[1, 59]",14,88,18,-16,55,25,17
"[1, 60]",22,47,20,8,47,36,18
"[1, 61]",27,59,26,-4,15,48,4
"[1, 62]",19,10,19,-1,50,32,6
"[1, 63]",19,42,20,-32,42,33,-22
"[1, 64]",16,40,16,1,87,25,-31
"[1, 65]",17,29,17,-2,66,31,7
"[1, 66]",17,77,17,-7,9,29,-10
"[1, 67]",14,48,14,-4,48,28,6
"[1, 68]",23,58,21,9,48,42,6
"[1, 69]",22,10,24,-1,10,35,9
"[1, 70]",28,26,26,-5,26,49,5
"[1, 71]",15,5,14,-62,66,28,7
"[1, 72]",16,86,16,-14,48,31,6
"[1, 73]",17,9,20,-20,9,33,-10
"[1, 74]",20,15,23,-6,36,37,15
"[1, 75]",26,43,24,3,12,42,-27
"[1, 76]",19,40,17,1,4,32,14
"[1, 77]",23,54,22,-6,51,38,1
"[1, 78]",11,25,14,-48,79,22,-3
"[1, 79]",23,36,20,5,20,41,14
"[1, 80]",19,89,18,4,89,30,14
"[1, 81]",10,40,12,1,20,21,14
"[1, 82]",17,12,19,-37,12,31,-27
"[1, 83]",20,87,21,-41,77,35,3
"[1, 84]",19,44,19,-24,78,31,5
"[1, 85]",24,5,21,-62,3,38,15
"[1, 86]",9,28,12,-10,2,17,-31
"[1, 87]",15,26,18,-5,26,25,5
"[1, 88]",16,62,16,-23,20,28,14
"[1, 89]",18,15,17,-6,15,30,4
"[1, 90]",19,59,20,-4,43,30,13
"[2, 3]",23,73,24,-13,84,38,16
"[2, 4]",19,81,20,5,15,37,4
"[2, 5]",14,19,14,1,75,29,19
"[2, 6]",15,48,15,-4,74,26,17
"[2, 7]",12,48,14,-4,48,30,6
"[2, 8]",14,4,13,4,67,24,-1
"[2, 9]",26,4,24,4,56,41,-1
"[2, 10]",24,48,22,-4,81,37,15
"[2, 11]",19,22,19,2,37,34,8
"[2, 12]",20,29,18,-2,65,33,-16
